month_end_date,firm_crd_number,branch_id,branch_name,advisor_id,advisor_name,account_count,beginning_aum,ending_aum,net_new_assets,revenue,avg_fee_rate,aum_growth_rate,revenue_per_account
2026-01-31,100000,BR-00001,Northstar Wealth Advisors - White Plains 1,ADV-000001,Morgan Parker 1,45,150418702.46,150330849.13,-567754.91,49666.6,0.01037111111111111,-0.0005840585549750733,1103.7022222222222
2026-01-31,100000,BR-00001,Northstar Wealth Advisors - White Plains 1,ADV-000002,Casey Campbell 2,50,174744116.14,176772781.98,1312229.98,93439.68,0.007888000000000001,0.011609351346483646,1868.7936
2026-01-31,100000,BR-00001,Northstar Wealth Advisors - White Plains 1,ADV-000003,Taylor Patel 3,32,61066825.32,62730018.04,662600.31,29991.63,0.009734375,0.027235617887201455,937.2384375
2026-01-31,100000,BR-00001,Northstar Wealth Advisors - White Plains 1,ADV-000004,Cameron Lee 4,56,73913398.89,74137924.66,3780.749999999989,37502.51,0.010667857142857144,0.0030376869873639744,669.6876785714286
2026-01-31,100000,BR-00001,Northstar Wealth Advisors - White Plains 1,ADV-000005,Morgan Parker 5,24,56102106.26,56610975.559999995,14411.429999999993,33623.35,0.008845833333333332,0.009070413464366017,1400.9729166666666
2026-01-31,100000,BR-00001,Northstar Wealth Advisors - White Plains 1,ADV-000006,Avery Patel 6,21,44963896.75,44637081.69,344394.66,25158.39,0.009157142857142857,-0.007268388276423181,1198.0185714285715
2026-01-31,100000,BR-00002,Northstar Wealth Advisors - Colorado Springs 2,ADV-000007,Casey Chen 7,35,474651727.23,478948570.54,431776.3,170051.76,0.005685714285714286,0.009052623352022268,4858.621714285715
2026-01-31,100000,BR-00002,Northstar Wealth Advisors - Colorado Springs 2,ADV-000008,Casey Parker 8,21,83007417.1,83554119.13,-579592.77,52221.17,0.008276190476190477,0.006586182887023011,2486.7223809523807
2026-01-31,100000,BR-00002,Northstar Wealth Advisors - Colorado Springs 2,ADV-000009,Taylor Brooks 9,58,126506818.99000001,126556552.95,-29441.209999999952,68223.82,0.00956896551724138,0.00039313264215365943,1176.2727586206897
2026-01-31,100000,BR-00002,Northstar Wealth Advisors - Colorado Springs 2,ADV-000010,Riley Patel 10,51,165129988.05,167910778.17000002,354990.95,80767.1,0.009368627450980393,0.016840006790032613,1583.6686274509805
2026-01-31,100000,BR-00002,Northstar Wealth Advisors - Colorado Springs 2,ADV-000011,Taylor Brooks 11,43,131215083.26,131578851.84,573595.56,68161.54,0.009513953488372093,0.002772307656728748,1585.1520930232557
2026-01-31,100000,BR-00002,Northstar Wealth Advisors - Colorado Springs 2,ADV-000012,Taylor Patel 12,39,125620071.53,125007707.85,-360563.64999999997,59840.5,0.01021025641025641,-0.0048747279996076524,1534.371794871795
2026-01-31,100001,BR-00003,Cedar Ridge Capital Management - Naperville 1,ADV-000013,Riley Rivera 13,35,59921178.550000004,59264850.029999994,93150.33000000002,24922.170000000002,0.010705714285714285,-0.010953197782188994,712.062
2026-01-31,100001,BR-00003,Cedar Ridge Capital Management - Naperville 1,ADV-000014,Avery Lee 14,44,113577575.56,114750153.00999999,629267.25,53375.5,0.010170454545454545,0.01032402253894341,1213.0795454545455
2026-01-31,100001,BR-00003,Cedar Ridge Capital Management - Naperville 1,ADV-000015,Jordan Patel 15,34,91748925.63,90418125.62,-96945.24000000003,55232.32,0.009291176470588235,-0.014504802109255942,1624.48
2026-01-31,100001,BR-00003,Cedar Ridge Capital Management - Naperville 1,ADV-000016,Alex Parker 16,55,162884697.44,165466161.23,716104.0800000001,74152.23,0.009083636363636363,0.015848411978362155,1348.2223636363635
2026-01-31,100001,BR-00003,Cedar Ridge Capital Management - Naperville 1,ADV-000017,Riley Brooks 17,44,177680701.78,178140800.35,-712805.29,95913.03,0.007888636363636363,0.0025894684419339804,2179.841590909091
2026-01-31,100001,BR-00003,Cedar Ridge Capital Management - Naperville 1,ADV-000018,Taylor Lee 18,21,18619868.65,18965189.32,184037.44999999998,12349.85,0.010985714285714284,0.018545816648389828,588.0880952380952
2026-01-31,100001,BR-00004,Cedar Ridge Capital Management - Chicago 2,ADV-000019,Casey Brooks 19,44,169593262.37,170930359.52,756129.14,85295.68,0.008215909090909091,0.00788414074541991,1938.5381818181816
2026-01-31,100001,BR-00004,Cedar Ridge Capital Management - Chicago 2,ADV-000020,Riley Patel 20,51,76431343.0,76949451.45,-213629.85,46251.4,0.011027450980392157,0.006778743244116527,906.8901960784314
2026-01-31,100001,BR-00004,Cedar Ridge Capital Management - Chicago 2,ADV-000021,Cameron Parker 21,41,142478102.58,144015833.56,305107.92000000004,81821.13,0.008763414634146342,0.010792753076821534,1995.6373170731708
2026-01-31,100001,BR-00004,Cedar Ridge Capital Management - Chicago 2,ADV-000022,Morgan Brooks 22,39,152942645.67,153614579.74,-468770.85,87984.71,0.008158974358974358,0.004393372869002383,2256.0182051282054
2026-01-31,100001,BR-00005,Cedar Ridge Capital Management - Chicago 3,ADV-000023,Riley Patel 23,28,43549442.67,43515776.78,-110636.83000000002,25046.63,0.009328571428571427,-0.0007730498471612379,894.5225
2026-01-31,100001,BR-00005,Cedar Ridge Capital Management - Chicago 3,ADV-000024,Riley Campbell 24,31,78188446.65,78290175.44,-893807.56,37685.72,0.009416129032258065,0.0013010718892442871,1215.6683870967743
2026-01-31,100001,BR-00005,Cedar Ridge Capital Management - Chicago 3,ADV-000025,Casey Chen 25,25,121984906.31,124495845.15,626923.62,58238.47,0.007228,0.020584012530361417,2329.5388000000003
